"","Electors","Candidate","Color"
"374",268,"Republican","#FF0000"
"375",398,"Democrat","#0000FF"
"376",226,"Republican","#FF0000"
"377",389,"Democrat","#0000FF"
"378",190,"Republican","#FF0000"
"379",273,"Democrat","#0000FF"
"380",216,"Republican","#FF0000"
"381",284,"Democrat","#0000FF"
"382",384,"Democrat","#0000FF"
"383",317,"Democrat","#0000FF"
"384",228,"Republican","#FF0000"
"385",382,"Democrat","#0000FF"
"386",262,"Republican","#FF0000"
"387",273,"Democrat","#0000FF"
"388",233,"Republican","#FF0000"
"389",223,"Republican","#FF0000"
"390",285,"Democrat","#0000FF"
"391",366,"Democrat","#0000FF"
"392",258,"Republican","#FF0000"
"393",312,"Democrat","#0000FF"
"394",308,"Democrat","#0000FF"
"395",326,"Democrat","#0000FF"
"396",400,"Democrat","#0000FF"
"397",218,"Republican","#FF0000"
"398",268,"Republican","#FF0000"
"399",224,"Republican","#FF0000"
"400",284,"Democrat","#0000FF"
"401",318,"Democrat","#0000FF"
"402",251,"Republican","#FF0000"
"403",229,"Republican","#FF0000"
"404",216,"Republican","#FF0000"
"405",316,"Democrat","#0000FF"
"406",264,"Republican","#FF0000"
"407",131,"Republican","#FF0000"
"408",266,"Republican","#FF0000"
"409",226,"Republican","#FF0000"
"410",214,"Republican","#FF0000"
"411",286,"Democrat","#0000FF"
"412",308,"Democrat","#0000FF"
"413",271,"Democrat","#0000FF"
"414",261,"Republican","#FF0000"
"415",322,"Democrat","#0000FF"
"416",241,"Republican","#FF0000"
"417",216,"Republican","#FF0000"
"418",309,"Democrat","#0000FF"
"419",253,"Republican","#FF0000"
"420",262,"Republican","#FF0000"
"421",267,"Republican","#FF0000"
"422",297,"Democrat","#0000FF"
"423",233,"Republican","#FF0000"
"424",294,"Democrat","#0000FF"
"425",392,"Democrat","#0000FF"
"426",344,"Democrat","#0000FF"
"427",274,"Democrat","#0000FF"
"428",359,"Democrat","#0000FF"
"429",340,"Democrat","#0000FF"
"430",308,"Democrat","#0000FF"
"431",276,"Democrat","#0000FF"
"432",340,"Democrat","#0000FF"
"433",393,"Democrat","#0000FF"
"434",330,"Democrat","#0000FF"
"435",343,"Democrat","#0000FF"
"436",382,"Democrat","#0000FF"
"437",252,"Republican","#FF0000"
"438",268,"Republican","#FF0000"
"439",242,"Republican","#FF0000"
"440",205,"Republican","#FF0000"
"441",266,"Republican","#FF0000"
"442",281,"Democrat","#0000FF"
"443",414,"Democrat","#0000FF"
"444",248,"Republican","#FF0000"
"445",376,"Democrat","#0000FF"
"446",270,"Democrat","#0000FF"
"447",197,"Republican","#FF0000"
"448",181,"Republican","#FF0000"
"449",215,"Republican","#FF0000"
"450",423,"Democrat","#0000FF"
"451",303,"Democrat","#0000FF"
"452",264,"Republican","#FF0000"
"453",366,"Democrat","#0000FF"
"454",437,"Democrat","#0000FF"
"455",306,"Democrat","#0000FF"
"456",228,"Republican","#FF0000"
"457",304,"Democrat","#0000FF"
"458",252,"Republican","#FF0000"
"459",338,"Democrat","#0000FF"
"460",262,"Republican","#FF0000"
"461",286,"Democrat","#0000FF"
"462",312,"Democrat","#0000FF"
"463",203,"Republican","#FF0000"
"464",399,"Democrat","#0000FF"
"465",372,"Democrat","#0000FF"
"466",225,"Republican","#FF0000"
"467",168,"Republican","#FF0000"
"468",173,"Republican","#FF0000"
"469",259,"Republican","#FF0000"
"470",224,"Republican","#FF0000"
"471",308,"Democrat","#0000FF"
"472",401,"Democrat","#0000FF"
"473",349,"Democrat","#0000FF"
"474",284,"Democrat","#0000FF"
"475",258,"Republican","#FF0000"
"476",278,"Democrat","#0000FF"
"477",368,"Democrat","#0000FF"
"478",212,"Republican","#FF0000"
"479",270,"Democrat","#0000FF"
"480",441,"Democrat","#0000FF"
"481",198,"Republican","#FF0000"
"482",181,"Republican","#FF0000"
"483",227,"Republican","#FF0000"
"484",309,"Democrat","#0000FF"
"485",380,"Democrat","#0000FF"
"486",347,"Democrat","#0000FF"
"487",170,"Republican","#FF0000"
"488",245,"Republican","#FF0000"
"489",376,"Democrat","#0000FF"
"490",355,"Democrat","#0000FF"
"491",248,"Republican","#FF0000"
"492",195,"Republican","#FF0000"
"493",235,"Republican","#FF0000"
"494",333,"Democrat","#0000FF"
"495",428,"Democrat","#0000FF"
"496",247,"Republican","#FF0000"
"497",445,"Democrat","#0000FF"
"498",208,"Republican","#FF0000"
"499",425,"Democrat","#0000FF"
"500",359,"Democrat","#0000FF"
"501",298,"Democrat","#0000FF"
"502",216,"Republican","#FF0000"
"503",319,"Democrat","#0000FF"
"504",288,"Democrat","#0000FF"
"505",157,"Republican","#FF0000"
"506",219,"Republican","#FF0000"
"507",389,"Democrat","#0000FF"
"508",264,"Republican","#FF0000"
"509",285,"Democrat","#0000FF"
"510",309,"Democrat","#0000FF"
"511",342,"Democrat","#0000FF"
"512",427,"Democrat","#0000FF"
"513",345,"Democrat","#0000FF"
"514",253,"Republican","#FF0000"
"515",346,"Democrat","#0000FF"
"516",245,"Republican","#FF0000"
"517",389,"Democrat","#0000FF"
"518",237,"Republican","#FF0000"
"519",201,"Republican","#FF0000"
"520",431,"Democrat","#0000FF"
"521",275,"Democrat","#0000FF"
"522",278,"Democrat","#0000FF"
"523",226,"Republican","#FF0000"
